Company Name,Sector,Ticker,MarketCap,MarketCap2,,3M India Ltd.,3M India Ltd.,"18,450",-1.16%,"21,028","25,209","15,686",19.53,96.03,10.14,39.57
Bank of India,FINANCIAL SERVICES,BANKINDIA,,16352,,Ashok Leyland Ltd.,Somewhat,49.15,0.10%,"14,413",90.55,33.7,25.42,60.18,1.98,4.41
Bank of Maharashtra.,FINANCIAL SERVICES,MAHABANK,,500,,Add to ,Good,,,,,,,,,
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,,16481,,Ashoka Buildcon Ltd.,Very Good,62.25,-0.80%,"1,762",147.8,37,-0.51,10.66,4.25,5.35
Bayer Cropscience Ltd.,FERTILISERS & PESTICIDES,BAYERCROP,,27811,,Add to ,,,,,,,,,,
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,,47905,,Asian Paints Ltd.,Very Good,"1,696",0.56%,"1,61,788","1,916","1,291",24.01,59.81,15.97,45.48
Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,BDL,,6120,,Add to ,,,,,,,,,,
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,,21686,,Aster DM Healthcare Ltd.,Somewhat,121.3,0.12%,"6,054",180.5,78.5,11.04,21.89,1.85,9.55
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,,15569,,Add to ,Good,,,,,,,,,
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,,12779,,Astral Poly Technik Ltd.,Very Good,981,0.08%,"14,768","1,265",747.6,16.77,59.57,9.83,38.79
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,,83213,,Add to ,,,,,,,,,,
Bharat Rasayan Ltd.,FERTILISERS & PESTICIDES,BHARATRAS,,500,,Astrazeneca Pharma India Ltd.,Not Good,"3,512",-0.87%,"8,857","3,700","1,635",19.7,122.65,24.3,-
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,,"3,04,693",,Add to ,,,,,,,,,,
Bharti Infratel Ltd.,TELECOM,INFRATEL,,41126,,Atul Ltd.,Very Good,"4,541",0.67%,"13,381","5,447","3,257",17.29,20.9,4.36,17.84
Biocon Ltd.,PHARMA,BIOCON,,47028,,Add to ,,,,,,,,,,
Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN,,4623,,AU Small Finance Bank Ltd.,Somewhat,566.7,-1.49%,"17,626","1,218",366.2,49.96,23.14,0,-
Birlasoft Ltd.,IT,BSOFT,,2513,,Add to ,Good,,,,,,,,,
Bliss GVS Pharma Ltd.,PHARMA,BLISSGVS,,1014,,Aurobindo Pharma Ltd.,Somewhat,778.3,-0.18%,"45,686",819.5,281.1,13.82,24.4,3.51,20.72
Blue Dart Express Ltd.,SERVICES,BLUEDART,,4774,,Add to ,Good,,,,,,,,,
Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO,,4817,,Avanti Feeds Ltd.,Somewhat,491.6,-1.15%,"6,776",769.9,250,23.51,19.56,4.83,14.58
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,,7190,,Add to ,Good,,,,,,,,,
Bombay Dyeing & Manufacturing Co. Ltd.,CONSTRUCTION,BOMDYEING,,500,,Avenue Supermarts Ltd.,Very Good,"2,289",-0.29%,"1,48,693","2,559","1,290",18.06,110.15,13.35,90.84
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,,35134,,Add to ,,,,,,,,,,
Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE,,2688,,Axis Bank Ltd.,Very Good,428.5,1.17%,"1,19,527",813.5,285,7.19,73.45,1.41,-
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,,85080,,Add to ,,,,,,,,,,
CARE Ratings Ltd.,FINANCIAL SERVICES,CARERATING,,1214,,Bajaj Auto Ltd.,Very Good,"2,934",2.28%,"83,012","3,315","1,793",21.24,15.93,3.83,15.51
CCL Products (I) Ltd.,CONSUMER GOODS,CCL,,500,,Add to ,,,,,,,,,,
CESC Ltd.,POWER,CESC,,8425,,Bajaj Consumer Care Ltd.,Very Good,145.1,-1.02%,"2,162",328.4,117.5,46.51,11.35,3.19,6.91
CRISIL Ltd.,FINANCIAL SERVICES,CRISIL,,12195,,Add to ,,,,,,,,,,
CSB Bank Ltd.,FINANCIAL SERVICES,CSBBANK,,500,,Bajaj Electricals Ltd.,Somewhat,384.2,-1.25%,"4,427",535.1,260,16.54,0,3.21,17.2
Cadila Healthcare Ltd.,PHARMA,CADILAHC,,37187,,Add to ,Good,,,,,,,,,
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,,4778,,Bajaj Finance Ltd.,Very Good,"2,932",-1.24%,"1,78,641","4,923","1,783",19.13,36.6,5.65,-
Canara Bank,FINANCIAL SERVICES,CANBK,,15196,,Add to ,,,,,,,,,,
Caplin Point Laboratories Ltd.,PHARMA,CAPLIPOINT,,2551,,Bajaj Finserv Ltd.,Very Good,"6,150",-0.63%,"98,622","10,297","3,986",21.78,29.27,3.15,-
Capri Global Capital Ltd.,FINANCIAL SERVICES,CGCL,,3073,,Add to ,,,,,,,,,,
Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,CARBORUNIV,,5174,,Bajaj Holdings & Investment Ltd.,Very Good,"2,549",-1.45%,"28,789","3,949","1,472",7.43,15.76,2.69,-
Castrol India Ltd.,OIL & GAS,CASTROLIND,,12250,,Add to ,,,,,,,,,,
Ceat Ltd.,AUTOMOBILE,CEATLTD,,3713,,Balkrishna Industries Ltd.,Very Good,"1,313",2.78%,"24,701","1,319",677.6,14.77,26.14,4.91,18.79
Central Bank of India,FINANCIAL SERVICES,CENTRALBK,,10163,,Add to ,,,,,,,,,,
Central Depository Services (India) Ltd.,FINANCIAL SERVICES,CDSL,,2872,,Balmer Lawrie & Company Ltd.,Not Good,113.8,1.79%,"1,912",141.3,69.85,13.72,10.79,1.45,6.96
Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY,,2647,,Add to ,,,,,,,,,,
Century Textile & Industries Ltd.,PAPER,CENTURYTEX,,500,,Balrampur Chini Mills Ltd.,Not Good,131.5,0.04%,"2,892",195,68.8,30.68,5.68,1.22,6.68
Cera Sanitaryware Ltd,CONSTRUCTION,CERA,,500,,Add to ,,,,,,,,,,
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,,500,,Bandhan Bank Ltd.,Very Good,347.1,0.30%,"55,732",650,152.3,0,0,0,-
Chennai Petroleum Corporation Ltd.,OIL & GAS,CHENNPETRO,,1196,,Add to ,,,,,,,,,,
Cholamandalam Financial Holdings Ltd.,FINANCIAL SERVICES,CHOLAHLDNG,,5680,,Bank Of Baroda,Somewhat,50.75,-1.36%,"23,773",132.8,36.05,0.97,43.53,0.36,-
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,,500,,Add to ,Good,,,,,,,,,
Cipla Ltd.,PHARMA,CIPLA,,52069,,Bank Of India,Not Good,50.7,1.60%,"16,352",96.4,30.45,-16.21,0,0.42,-
City Union Bank Ltd.,FINANCIAL SERVICES,CUB,,9204,,Add to ,,,,,,,,,,
Coal India Ltd.,METALS,COALINDIA,,82365,,Bank Of Maharashtra,Not Good,10.93,-1.62%,"6,471",17,7.71,-72.59,16.65,0.68,-
Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP,,3976,,Add to ,,,,,,,,,,
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,,500,,BASF India Ltd.,Somewhat,"1,240",0.27%,"5,352","1,324",795,1.1,289.14,3.86,34.49
Container Corporation of India Ltd.,SERVICES,CONCOR,,25724,,Add to ,Good,,,,,,,,,
Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL,,22044,,Bata India Ltd.,Very Good,"1,300",1.35%,"16,481","1,897","1,017",20.47,50.1,8.7,31.93
CreditAccess Grameen Ltd.,FINANCIAL SERVICES,CREDITACC,,7614,,Add to ,,,,,,,,,,
Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON,,15045,,Bayer CropScience Ltd.,Very Good,"6,076",-1.81%,"27,811","6,342","2,952",13.05,69.79,10.81,73.35
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND,,11020,,Add to ,,,,,,,,,,
Cyient Ltd.,IT,CYIENT,,3015,,BEML Ltd.,Somewhat,661,3.26%,"2,666","1,108",369.6,3,38.99,1.18,12.26
D.B.Corp Ltd.,MEDIA & ENTERTAINMENT,DBCORP,,500,,Add to ,Good,,,,,,,,,
DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK,,2502,,Berger Paints India Ltd.,Very Good,503.4,2.07%,"47,905",597.5,300.1,21.95,72.83,18.01,53.13
DCM Shriram Ltd.,CONSUMER GOODS,DCMSHRIRAM,,4948,,Add to ,,,,,,,,,,
DLF Ltd.,CONSTRUCTION,DLF,,37835,,Bharat Dynamics Ltd.,Somewhat,375.8,12.55%,"6,120",380.7,147,0,0,0,-
Dabur India Ltd.,CONSUMER GOODS,DABUR,,82255,,Add to ,Good,,,,,,,,,
Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,DALBHARAT,,13609,,Bharat Electronics Ltd.,Very Good,97.25,9.27%,"21,686",122.2,56.1,22.89,12.09,2.2,7.65
Deepak Nitrite Ltd.,CHEMICALS,DEEPAKNTR,,6573,,Add to ,,,,,,,,,,
Delta Corp Ltd.,SERVICES,DELTACORP,,2443,,Bharat Forge Ltd.,Very Good,358.9,7.31%,"15,569",533.1,207.8,18.89,44.51,2.98,9.18
Dhanuka Agritech Ltd.,FERTILISERS & PESTICIDES,DHANUKA,,500,,Add to ,,,,,,,,,,
Dilip Buildcon Ltd.,CONSTRUCTION,DBL,,3899,,Bharat Heavy Electricals Ltd.,Not Good,38.65,5.31%,"12,779",73.65,19.2,3.66,0,0.44,-
Dish TV India Ltd.,MEDIA & ENTERTAINMENT,DISHTV,,1578,,Add to ,,,,,,,,,,
Dishman Carbogen Amcis Ltd.,PHARMA,DCAL,,1977,,Bharat Petroleum Corporation Ltd.,Very Good,385,0.36%,"83,213",549.7,252,20.99,31.01,2.49,8.46
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,,500,,Add to ,,,,,,,,,,
Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,,6885,,Bharti Airtel Ltd.,Somewhat,581.1,4.05%,"3,04,693",611.7,321.6,-3.8,0,3,35.71
Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB,,500,,Add to ,Good,,,,,,,,,
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,,500,,Bharti Infratel Ltd.,Very Good,226.5,1.87%,"41,126",295.8,121.2,15.2,23.55,2.96,12.65
E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,EIDPARRY,,4708,,Add to ,,,,,,,,,,
EIH Ltd.,SERVICES,EIHOTEL,,3761,,Biocon Ltd.,Somewhat,395.6,0.93%,"47,028",410.4,211.3,4.79,107.79,6.24,-
ESAB India Ltd.,INDUSTRIAL MANUFACTURING,ESABINDIA,,500,,Add to ,Good,,,,,,,,,
Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EDELWEISS,,5661,,Birla Corporation Ltd.,Somewhat,610.2,1.64%,"4,623",807.6,372.5,5.44,9.15,0.96,8.2
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,,50108,,Add to ,Good,,,,,,,,,
Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,ELGIEQUIP,,2275,,Birlasoft Ltd.,Somewhat,89.75,-1.05%,"2,513",105.8,47.6,15.37,11.2,1.33,4.35
Emami Ltd.,CONSUMER GOODS,EMAMILTD,,10211,,Add to ,Good,,,,,,,,,
Endurance Technologies Ltd.,AUTOMOBILE,ENDURANCE,,12103,,Bliss GVS Pharma Ltd.,Somewhat,97.5,-0.81%,"1,014",163,73.9,9.67,10.98,1.48,10.39
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,,4739,,Add to ,Good,,,,,,,,,
Equitas Holdings Ltd.,FINANCIAL SERVICES,EQUITAS,,1873,,Blue Dart Express Ltd.,Very Good,"2,010",-0.11%,"4,774","3,068","1,875",13.64,0,8.18,27.04
Eris Lifesciences Ltd.,PHARMA,ERIS,,6086,,Add to ,,,,,,,,,,
Escorts Ltd.,AUTOMOBILE,ESCORTS,,12763,,Blue Star Ltd.,Very Good,500.1,0.00%,"4,817",887,425,12.97,39.85,5.67,19.49
Essel Propack Ltd.,INDUSTRIAL MANUFACTURING,ESSELPACK,,5880,,Add to ,,,,,,,,,,
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,,13009,,Bombay Burmah Trading Corporation Ltd.,Not Good,"1,029",-0.17%,"7,190","1,381",538,-7.56,0,30.76,-
FDC Ltd.,PHARMA,FDC,,4608,,Add to ,,,,,,,,,,
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,,500,,Bombay Dyeing & Manufacturing Company Ltd.,Not Good,72.55,-0.82%,"1,511",112.4,36.2,272.86,4.61,25.54,17.1
Fine Organic Industries Ltd.,CHEMICALS,FINEORG,,5715,,Add to ,,,,,,,,,,
Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,FINCABLES,,4447,,Bosch Ltd.,Very Good,"11,775",-1.16%,"35,134","17,137","7,874",16.99,60.08,3.79,15.29
Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,FINPIPE,,6174,,Add to ,,,,,,,,,,
Firstsource Solutions Ltd.,IT,FSL,,2537,,Brigade Enterprises Ltd.,Not Good,131.9,0.30%,"2,688",255,90.7,9.93,10.31,1.06,9.26
Fortis Healthcare Ltd.,HEALTHCARE SERVICES,FORTIS,,9701,,Add to ,,,,,,,,,,
Future Consumer Ltd.,CONSUMER GOODS,FCONSUMER,,2949,,Britannia Industries Ltd.,Very Good,"3,540",0.09%,"85,080","3,705","2,101",31.13,60.66,19.48,46.38
Future Retail Ltd.,CONSUMER GOODS,FRETAIL,,7705,,Add to ,,,,,,,,,,
GAIL (India) Ltd.,OIL & GAS,GAIL,,46657,,BSE Ltd.,Somewhat,0,-,"2,132",0,0,6.45,12.15,0.72,-
GE Power India Ltd.,INDUSTRIAL MANUFACTURING,GEPIL,,3099,,Add to ,Good,,,,,,,,,
GE T&D India Ltd.,INDUSTRIAL MANUFACTURING,GET&D,,1970,,Cadila Healthcare Ltd.,Very Good,366.2,0.83%,"37,187",383.6,206.4,18.56,31.61,3.58,14.86
GHCL Ltd.,CHEMICALS,GHCL,,1343,,Add to ,,,,,,,,,,
GMM Pfaudler Ltd.,INDUSTRIAL MANUFACTURING,GMMPFAUDLR,,500,,Can Fin Homes Ltd.,Very Good,353.2,-1.55%,"4,778",519,253.6,18.15,12.7,2.22,-
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA,,12736,,Add to ,,,,,,,,,,
Galaxy Surfactants Ltd.,CHEMICALS,GALAXYSURF,,5502,,Canara Bank,Not Good,103,-1.48%,"15,196",296.5,73.85,1.78,0,0.43,-
Garden Reach Shipbuilders & Engineers Ltd.,INDUSTRIAL MANUFACTURING,GRSE,,500,,Add to ,,,,,,,,,,
Garware Technical Fibres Ltd.,TEXTILES,GARFIBRES,,3057,,Caplin Point Laboratories Ltd.,Very Good,339.6,0.70%,"2,551",456,180,33.84,11.86,2.92,10.04
General Insurance Corporation of India,FINANCIAL SERVICES,GICRE,,500,,Add to ,,,,,,,,,,
