Company Name,Sector,Ticker,MarketCap,MarketCap2,,3M India Ltd.,3M India Ltd.,"18,450",-1.16%,"21,028","25,209","15,686",19.53,96.03,10.14,39.57
Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE,,500,,Add to ,,,,,,,,,,
Prism Johnson Ltd.,CEMENT & CEMENT PRODUCTS,PRSMJOHNSN,,2305,,HDFC Life Insurance Co Ltd.,Very Good,572.1,4.42%,"1,10,641",646.4,339.1,0,0,54.8,-
Procter & Gamble Health Ltd.,PHARMA,PGHL,,6736,,Add to ,,,,,,,,,,
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH,,33244,,HEG Ltd.,Somewhat,855.5,1.30%,"3,260","1,473",413.2,109.42,61.06,0.95,0.7
Punjab National Bank,FINANCIAL SERVICES,PNB,,34114,,Add to ,Good,,,,,,,,,
Quess Corp Ltd.,SERVICES,QUESS,,5365,,Heidelberg Cement India Ltd.,Somewhat,180.3,-0.06%,"4,089",217.8,120,19.87,15.25,3.11,8.83
RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK,,9028,,Add to ,Good,,,,,,,,,
REC Ltd.,FINANCIAL SERVICES,RECLTD,,21428,,Heritage Foods Ltd.,Not Good,263,1.25%,"1,205",411.6,146.7,22.01,0,2.61,7.68
RITES Ltd.,SERVICES,RITES,,6696,,Add to ,,,,,,,,,,
Radico Khaitan Ltd,CONSUMER GOODS,RADICO,,500,,Hero MotoCorp Ltd.,Very Good,"2,738",2.44%,"53,382","3,021","1,475",25.68,14.69,3.78,10.14
Rail Vikas Nigam Ltd.,CONSTRUCTION,RVNL,,4222,,Add to ,,,,,,,,,,
Rain Industries Ltd,CHEMICALS,RAIN,,500,,Hexaware Technologies Ltd.,Very Good,333.8,-0.60%,"10,036",398.9,201.7,26.27,19.74,5.04,15.67
Rajesh Exports Ltd.,CONSUMER GOODS,RAJESHEXPO,,13888,,Add to ,,,,,,,,,,
Rallis India Ltd.,FERTILISERS & PESTICIDES,RALLIS,,5286,,HFCL Ltd.,Not Good,15.35,-3.15%,"2,036",22.3,8.15,13.72,9.99,1.24,7.24
Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES,RCF,,2576,,Add to ,,,,,,,,,,
Ratnamani Metals & Tubes Ltd.,METALS,RATNAMANI,,4906,,Himadri Speciality Chemical Ltd.,Somewhat,48.5,1.57%,"2,000",106.5,27.3,19.57,9.4,1.13,4.51
Raymond Ltd.,TEXTILES,RAYMOND,,1892,,Add to ,Good,,,,,,,,,
Redington (India) Ltd.,SERVICES,REDINGTON,,3504,,Himatsingka Seide Ltd.,Somewhat,63.9,0.16%,628,174.3,43,13.29,4.81,0.44,5.58
Relaxo Footwears Ltd.,CONSUMER GOODS,RELAXO,,15667,,Add to ,Good,,,,,,,,,
Reliance Industries Ltd.,OIL & GAS,RELIANCE,,"11,90,490",,Hindalco Industries Ltd.,Not Good,146.3,-0.95%,"33,189",221.2,85.05,9.51,8.81,0.57,4.65
Repco Home Finance Ltd.,FINANCIAL SERVICES,REPCOHOME,,787,,Add to ,,,,,,,,,,
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE,,81368,,Hindustan Aeronautics Ltd.,Very Good,851.6,10.31%,"25,816",896.4,448,22.31,8.91,1.95,6.71
SJVN Ltd.,POWER,SJVN,,8547,,Add to ,,,,,,,,,,
SKF India Ltd.,INDUSTRIAL MANUFACTURING,SKFINDIA,,8235,,Hindustan Copper Ltd.,Very Good,33.1,1.22%,"3,025",51,18.3,9.66,0,2.89,13.72
SRF Ltd.,INDUSTRIAL MANUFACTURING,SRF,,21026,,Add to ,,,,,,,,,,
Sadbhav Engineering Ltd.,CONSTRUCTION,SADBHAV,,789,,Hindustan Petroleum Corporation Ltd.,Somewhat,215.9,0.37%,"32,777",329.2,155,24.09,12.42,1.06,4.58
Sanofi India Ltd.,PHARMA,SANOFI,,18112,,Add to ,Good,,,,,,,,,
Schaeffler India Ltd.,INDUSTRIAL MANUFACTURING,SCHAEFFLER,,11030,,Hindustan Unilever Ltd.,Very Good,"2,172",0.93%,"5,05,298","2,614","1,660",84.35,74.88,61.38,50.63
Schneider Electric Infrastructure Ltd.,INDUSTRIAL MANUFACTURING,SCHNEIDER,,500,,Add to ,,,,,,,,,,
Security and Intelligence Services (India) Ltd.,SERVICES,SIS,,500,,Hindustan Zinc Ltd.,Very Good,195.2,-0.61%,"82,964",241.1,122,21.15,12.19,2.06,6.16
Sequent Scientific Ltd.,PHARMA,SEQUENT,,500,,Add to ,,,,,,,,,,
Sheela Foam Ltd.,CONSUMER GOODS,SFL,,6998,,Honeywell Automation India Ltd.,Very Good,"29,403",-1.08%,"26,281","39,500","20,142",22.23,53.47,12.07,51.9
Shipping Corporation of India Ltd.,SERVICES,SCI,,500,,Add to ,,,,,,,,,,
Shoppers Stop Ltd.,CONSUMER GOODS,SHOPERSTOP,,1477,,Housing & Urban Development Corporation Ltd.,Somewhat,34,2.41%,"6,646",45.7,18.05,11.29,3.89,0.54,-
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,,82102,,Add to ,Good,,,,,,,,,
Shree Renuka Sugars Ltd.,CONSUMER GOODS,RENUKA,,2162,,Housing Development Finance Corporation Ltd.,Very Good,"1,886",-0.18%,"3,27,720","2,500","1,473",13.71,18.44,3.8,-
Shriram City Union Finance Ltd.,FINANCIAL SERVICES,SHRIRAMCIT,,4529,,Add to ,,,,,,,,,,
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN,,500,,ICICI Bank Ltd.,Very Good,361,-0.47%,"2,34,883",552.4,269,3.24,29.62,2.07,-
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS,,38960,,Add to ,,,,,,,,,,
Sobha Ltd.,CONSTRUCTION,SOBHA,,2117,,ICICI Lombard General Insurance Co Ltd.,Very Good,"1,283",-0.42%,"58,532","1,440",805.6,0,0,0,-
Solar Industries India Ltd.,CHEMICALS,SOLARINDS,,500,,Add to ,,,,,,,,,,
Sonata Software Ltd.,IT,SONATSOFTW,,2491,,ICICI Prudential Life Insurance Company Ltd.,Very Good,433.4,1.89%,"61,075",537.5,221.9,0,57.24,8.13,-
South Indian Bank Ltd.,FINANCIAL SERVICES,SOUTHBANK,,500,,Add to ,,,,,,,,,,
Spandana Sphoorty Financial Ltd.,FINANCIAL SERVICES,SPANDANA,,3551,,ICICI Securities Ltd.,Very Good,491.6,-0.33%,"15,890",524.8,191,53.13,29.32,13.14,-
Spicejet Ltd.,SERVICES,SPICEJET,,3027,,Add to ,,,,,,,,,,
Star Cement Ltd.,CEMENT & CEMENT PRODUCTS,STARCEMENT,,3629,,ICRA Ltd.,Very Good,"2,501",0.19%,"2,409","3,275","1,968",14.77,27.61,3.6,16.97
State Bank of India,FINANCIAL SERVICES,SBIN,,"1,65,507",,Add to ,,,,,,,,,,
Steel Authority of India Ltd.,METALS,SAIL,,12908,,IDBI Bank Ltd.,Not Good,50.6,4.98%,"50,034",50.6,17.5,-61.94,0,1.77,-
Sterling And Wilson Solar Ltd.,CONSTRUCTION,SWSOLAR,,3509,,Add to ,,,,,,,,,,
Sterlite Technologies Ltd.,TELECOM,STRTECH,,5136,,IDFC First Bank Ltd.,Somewhat,26.8,0.00%,"15,202",48,17.75,-11.23,0,0.87,-
Strides Pharma Science Ltd.,PHARMA,STAR,,3699,,Add to ,Good,,,,,,,,,
Sudarshan Chemical Industries Ltd.,CHEMICALS,SUDARSCHEM,,2702,,IDFC Ltd.,Somewhat,19.1,0.00%,"3,049",40.5,13.4,0.23,0,0.37,-
Sumitomo Chemical India Ltd.,CHEMICALS,SUMICHEM,,500,,Add to ,Good,,,,,,,,,
Sun Pharma Advanced Research Company Ltd.,PHARMA,SPARC,,4167,,IFB Industries Ltd.,Very Good,415.1,-1.15%,"1,702",798.1,232.1,10.05,32.46,2.56,12.55
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,,"1,13,525",,Add to ,,,,,,,,,,
Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,SUNTV,,15809,,IFCI Ltd.,Not Good,7.72,-3.02%,"1,509",9.34,3.1,-9.93,0,0.35,-
Sundaram Finance Ltd.,FINANCIAL SERVICES,SUNDARMFIN,,15685,,Add to ,,,,,,,,,,
Sundram Fasteners Ltd.,AUTOMOBILE,SUNDRMFAST,,7988,,IIFL Finance Ltd.,Somewhat,74.15,-2.18%,"2,868",212.8,58.15,4.17,19.27,0.79,-
Sunteck Realty Ltd.,CONSTRUCTION,SUNTECK,,2586,,Add to ,Good,,,,,,,,,
Suprajit Engineering Ltd.,AUTOMOBILE,SUPRAJIT,,2088,,India Tourism Development Corporation Ltd.,Not Good,209.2,-1.46%,"1,820",419.3,105,7.96,57.76,5.69,77.57
Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING,SUPREMEIND,,14459,,Add to ,,,,,,,,,,
Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,SUZLON,,3775,,Indiabulls Housing Finance Ltd.,Not Good,230.9,2.58%,"9,627",745,81.25,22.73,4.11,0.55,-
Swan Energy Ltd.,CONSTRUCTION,SWANENERGY,,3439,,Add to ,,,,,,,,,,
Symphony Ltd.,CONSUMER GOODS,SYMPHONY,,6363,,Indiabulls Integrated Services Ltd.,Not Good,56.9,-4.93%,535,208.9,31.1,-2.02,0,1.22,5.18
Syngene International Ltd.,PHARMA,SYNGENE,,16250,,Add to ,,,,,,,,,,
TCI Express Ltd.,SERVICES,TCIEXP,,2514,,Indiabulls Real Estate Ltd.,Not Good,56.45,4.93%,"2,446",120.3,36.85,1.5,0,0.38,-
TCNS Clothing Co. Ltd.,TEXTILES,TCNSBRANDS,,500,,Add to ,,,,,,,,,,
TTK Prestige Ltd.,CONSUMER GOODS,TTKPRESTIG,,7658,,Indiabulls Ventures Ltd.,Not Good,113.8,-4.17%,"7,301",343.2,63.6,2.9,29.57,1.55,-
TV Today Network Ltd.,MEDIA & ENTERTAINMENT,TVTODAY,,1135,,Add to ,,,,,,,,,,
TV18 Broadcast Ltd.,MEDIA & ENTERTAINMENT,TV18BRDCST,,6026,,Indiamart Intermesh Ltd.,NA,"2,098",-0.99%,"6,128","2,862",952,-20.38,41.57,22.27,-
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,,18317,,Add to ,,,,,,,,,,
Take Solutions Ltd.,PHARMA,TAKE,,727,,Indian Bank,Very Good,64.55,-1.75%,"7,420",264.3,41.7,1.96,8.61,0.37,-
Tasty Bite Eatables Ltd.,CONSUMER GOODS,TASTYBITE,,3292,,Add to ,,,,,,,,,,
Tata Communications Ltd.,TELECOM,TATACOMM,,500,,Indian Energy Exchange Ltd.,Very Good,187.8,2.18%,"5,507",203.4,111,0,0,0,-
Tata Consultancy Services Ltd.,IT,TCS,,"8,09,896",,Add to ,,,,,,,,,,
Tata Consumer Products Ltd.,CONSUMER GOODS,TATACONSUM,,35826,,Indian Oil Corporation Ltd.,Somewhat,87.85,-0.62%,"83,221",157.3,71.15,16.4,63.37,0.89,4.55
Tata Elxsi Ltd.,IT,TATAELXSI,,5672,,Add to ,Good,,,,,,,,,
Tata Investment Corporation Ltd.,FINANCIAL SERVICES,TATAINVEST,,3806,,Indian Overseas Bank,Not Good,11.13,-3.39%,"18,935",13.83,6.17,-29.85,0,1.4,-
Tata Motors Ltd DVR,AUTOMOBILE,TATAMTRDVR,,500,,Add to ,,,,,,,,,,
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,,31369,,Indostar Capital Finance Ltd.,Not Good,271,-0.37%,"3,350",371,166,9.71,0,0.94,-
Tata Power Co. Ltd.,POWER,TATAPOWER,,500,,Add to ,,,,,,,,,,
Tata Steel BSL Ltd.,METALS,TATASTLBSL,,2263,,Indraprastha Gas Ltd.,Very Good,447.4,0.65%,"31,115",534.4,284.6,20.62,27.38,6.15,23.01
Tata Steel Ltd.,METALS,TATASTEEL,,40332,,Add to ,,,,,,,,,,
Teamlease Services Ltd.,SERVICES,TEAMLEASE,,2836,,IndusInd Bank Ltd.,Very Good,487.2,-1.50%,"34,307","1,596",235.6,13.25,7.77,1.02,-
Tech Mahindra Ltd.,IT,TECHM,,54178,,Add to ,,,,,,,,,,
The New India Assurance Company Ltd.,FINANCIAL SERVICES,NIACL,,500,,Infibeam Avenues Ltd.,Not Good,64.6,-0.77%,"4,327",68.5,26.55,3.43,28.04,1.54,24.04
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM,,15287,,Add to ,,,,,,,,,,
Thermax Ltd.,INDUSTRIAL MANUFACTURING,THERMAX,,8989,,Info Edge (India) Ltd.,Very Good,"2,767",-0.76%,"34,164","3,125","1,580",12.37,166.12,14.05,97.33
Thyrocare Technologies Ltd.,HEALTHCARE SERVICES,THYROCARE,,2705,,Add to ,,,,,,,,,,
Time Technoplast Ltd.,INDUSTRIAL MANUFACTURING,TIMETECHNO,,846,,Infosys Ltd.,Very Good,762.6,0.83%,"3,22,120",847.4,511.1,24.9,19.41,4.94,13.42
Timken India Ltd.,INDUSTRIAL MANUFACTURING,TIMKEN,,7610,,Add to ,,,,,,,,,,
Titan Company Ltd.,CONSUMER GOODS,TITAN,,87567,,Inox Leisure Ltd.,Not Good,233.2,-0.21%,"2,404",510.8,158.2,17.23,160.93,3.87,7.97
Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM,,39780,,Add to ,,,,,,,,,,
Torrent Power Ltd.,POWER,TORNTPOWER,,15582,,Intellect Design Arena Ltd.,Not Good,107.2,-1.79%,"1,445",292,44,11.52,90.36,1.38,10.29
Trent Ltd.,CONSUMER GOODS,TRENT,,21740,,Add to ,,,,,,,,,,
Trident Ltd.,TEXTILES,TRIDENT,,3506,,Interglobe Aviation Ltd.,Somewhat,"1,011",0.93%,"38,555","1,911",765,3.07,0,6.56,81.13
Tube Investments of India Ltd.,AUTOMOBILE,TIINDIA,,8355,,Add to ,Good,,,,,,,,,
UCO Bank,FINANCIAL SERVICES,UCOBANK,,14580,,Ipca Laboratories Ltd.,Very Good,"1,663",0.39%,"20,928","1,821",844.2,15.84,32.08,5.71,30.12
UFLEX Ltd.,INDUSTRIAL MANUFACTURING,UFLEX,,1545,,Add to ,,,,,,,,,,
UPL Ltd.,FERTILISERS & PESTICIDES,UPL,,33800,,IRB Infrastructure Developers Ltd.,Not Good,98.95,3.99%,"3,344",119.7,46,12.77,11.98,1.3,15.51
Ujjivan Financial Services Ltd.,FINANCIAL SERVICES,UJJIVAN,,2905,,Add to ,,,,,,,,,,
Ujjivan Small Finance Bank Ltd.,FINANCIAL SERVICES,UJJIVANSFB,,500,,Ircon International Ltd.,Somewhat,91.65,-1.61%,"4,380",119.8,58.2,11.5,9.33,1.04,9.34
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,,"1,12,997",,Add to ,Good,,,,,,,,,
Union Bank of India,FINANCIAL SERVICES,UNIONBANK,,20758,,ITC Ltd.,Very Good,207.3,0.66%,"2,53,220",282.9,134.9,22,16.73,3.95,13.59
United Breweries Ltd.,CONSUMER GOODS,UBL,,27913,,Add to ,,,,,,,,,,
United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N,,43188,,ITD Cementation India Ltd.,Not Good,52.5,-2.60%,926,111,26,10.07,21.45,0.88,5.23
V-Guard Industries Ltd.,CONSUMER GOODS,VGUARD,,7309,,Add to ,,,,,,,,,,
V-Mart Retail Ltd.,CONSUMER GOODS,VMART,,3292,,ITI Ltd.,Not Good,112,8.53%,"9,543",113.7,44.9,5.29,63.25,274.96,-
V.I.P. Industries Ltd.,CONSUMER GOODS,VIPIND,,500,,Add to ,,,,,,,,,,
VRL Logistics Ltd.,SERVICES,VRLLOG,,1457,,Jagran Prakashan Ltd.,Not Good,40.75,-0.85%,"1,156",108,36.15,14.62,4.41,0.84,3.38
VST Industries Ltd.,CONSUMER GOODS,VSTIND,,4876,,Add to ,,,,,,,,,,
Vaibhav Global Ltd.,CONSUMER GOODS,VAIBHAVGBL,,4129,,Jai Corp Ltd.,Not Good,95.1,3.76%,"1,635",121.9,42.65,2.01,40.34,1.35,23.34
Vakrangee Ltd.,IT,VAKRANGEE,,3750,,Add to ,,,,,,,,,,
Vardhman Textiles Ltd.,TEXTILES,VTL,,3837,,Jain Irrigation Systems Ltd.,Not Good,13.35,-4.98%,697,28.9,3.08,5.14,0,0.16,3.26
Varroc Engineering Ltd.,AUTOMOBILE,VARROC,,2479,,Add to ,,,,,,,,,,
Varun Beverages Ltd.,CONSUMER GOODS,VBL,,19677,,Jamna Auto Industries Ltd.,Not Good,33.05,3.44%,"1,273",53.5,21,29.37,26.59,2.46,4.5
Vedanta Ltd.,METALS,VEDL,,39551,,Add to ,,,,,,,,,,
Venky's (India) Ltd.,CONSUMER GOODS,VENKEYS,,500,,JB Chemicals & Pharmaceuticals Ltd.,Very Good,718,0.37%,"5,529",743,321.7,11.72,20.62,3.83,17.74
Vesuvius India Ltd.,INDUSTRIAL MANUFACTURING,VESUVIUS,,500,,Add to ,,,,,,,,,,
Vinati Organics Ltd.,CHEMICALS,VINATIORGA,,9918,,Jindal Saw Ltd.,Not Good,60.75,4.47%,"1,859",102.7,40,7.18,3.13,0.27,4.81
Vodafone Idea Ltd.,TELECOM,IDEA,,28850,,Add to ,,,,,,,,,,
Voltas Ltd.,CONSUMER GOODS,VOLTAS,,18604,,Jindal Stainless (Hisar) Ltd.,Somewhat,69,-2.47%,"1,669",91.35,30.4,21.57,4.25,0.74,3.85
WABCO India Ltd.,AUTOMOBILE,WABCOINDIA,,13051,,Add to ,Good,,,,,,,,,
Welspun Corp Ltd.,METALS,WELCORP,,2111,,Jindal Stainless Ltd.,Not Good,40.3,-1.71%,"1,998",47.25,22.3,5.47,11.73,0.74,5.44
Welspun India Ltd.,TEXTILES,WELSPUNIND,,3572,,Add to ,,,,,,,,,,
Westlife Development Ltd.,SERVICES,WESTLIFE,,4819,,Jindal Steel & Power Ltd.,Not Good,153.8,-0.10%,"15,698",202.4,62.1,-2.04,0,0.49,6.56
Whirlpool of India Ltd.,CONSUMER GOODS,WHIRLPOOL,,26680,,Add to ,,,,,,,,,,
Wipro Ltd.,IT,WIPRO,,"1,28,403",,JK Cement Ltd.,Somewhat,"1,413",1.40%,"10,767","1,504",800,12.9,26.89,3.44,15.04
Wockhardt Ltd.,PHARMA,WOCKPHARMA,,3042,,Add to ,Good,,,,,,,,,
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,,16751,,JK Lakshmi Cement Ltd.,Not Good,276.3,6.13%,"3,064",389.4,179.8,3.81,13.02,1.79,10.35
Zensar Technolgies Ltd.,IT,ZENSARTECH,,500,,Add to ,,,,,,,,,,
Zydus Wellness Ltd.,CONSUMER GOODS,ZYDUSWELL,,7476,,JK Paper Ltd.,Not Good,99.9,0.10%,"1,779",151.9,62.2,23.22,3.61,0.75,2.84
eClerx Services Ltd.,IT,ECLERX,,1741,,Add to ,,,,,,,,,,
,,,,,,JK Tyre & Industries Ltd.,Not Good,64.3,0.08%,"1,582",87.7,31.5,9.3,6.92,0.73,6.57
,,,,,,Add to ,,,,,,,,,,
,,,,,,JM Financial Ltd.,Not Good,73.15,0.21%,"6,949",126,55.5,5.11,54.58,2.1,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Johnson Controls - Hitachi Air Conditioning India Ltd.,Very Good,"2,256",1.06%,"6,068","3,375","1,475",15.78,72.65,8.81,36.55
,,,,,,Add to ,,,,,,,,,,
,,,,,,JSW Energy Ltd.,Somewhat,49,-2.78%,"8,280",80,34.75,6.3,7.53,0.71,6.28
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,JSW Steel Ltd.,Somewhat,190.9,-1.83%,"47,015",296.6,132.5,27.18,8.89,1.23,4.42
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Jubilant FoodWorks Ltd.,Very Good,"1,737",0.76%,"22,753","1,973","1,078",27.9,82.6,19.23,36.17
,,,,,,Add to ,,,,,,,,,,
,,,,,,Jubilant Life Sciences Ltd.,Somewhat,682.9,0.45%,"10,828",697,230,7.17,33.72,4.15,36.2
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Just Dial Ltd.,Somewhat,382.9,-0.78%,"2,505",824.9,250.6,21.42,9.2,1.95,10.69
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Jyothy Labs Ltd.,Very Good,122,3.35%,"4,335",185,86.2,16.47,25.46,3.53,15.68
,,,,,,Add to ,,,,,,,,,,
,,,,,,Kajaria Ceramics Ltd.,Very Good,400.9,0.84%,"6,319",605.8,295.4,15.94,24.75,3.69,13.6
,,,,,,Add to ,,,,,,,,,,
,,,,,,Kalpataru Power Transmission Ltd.,Somewhat,234.2,4.77%,"3,458",538.2,170,13.14,7.47,0.98,4.79
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Kansai Nerolac Paints Ltd.,Very Good,450.9,-2.22%,"24,850",573,296.3,14.64,46.41,6.56,31.19
,,,,,,Add to ,,,,,,,,,,
,,,,,,Karur Vysya Bank Ltd.,Very Good,34,-1.45%,"2,758",71.6,18.15,3.32,13.05,0.42,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Kaveri Seed Company Ltd.,Very Good,580.6,0.03%,"3,664",635,274.1,19.05,14.58,3.73,15.44
,,,,,,Add to ,,,,,,,,,,
,,,,,,KEC International Ltd.,Somewhat,276.3,1.47%,"7,001",358.3,154.5,16.83,12.83,2.47,8.51
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,KEI Industries Ltd.,Somewhat,357.1,1.10%,"3,161",614.7,208.4,28.96,12.33,2.1,7.58
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Kennametal India Ltd.,Very Good,757,-0.13%,"1,666","1,227",601,18.02,28.38,2.98,11.96
,,,,,,Add to ,,,,,,,,,,
,,,,,,Kirloskar Oil Engines Ltd.,Very Good,112,0.31%,"1,615",199,70.05,13.12,9.48,0.88,2.07
,,,,,,Add to ,,,,,,,,,,
,,,,,,KNR Construction Ltd.,Very Good,211.3,-2.04%,"3,033",311.1,171.7,22.53,11.42,1.95,6.97
,,,,,,Add to ,,,,,,,,,,
,,,,,,Kolte Patil Developers Ltd.,Not Good,159.2,-0.13%,"1,208",288,103.1,8.28,12.12,1.34,7.88
,,,,,,Add to ,,,,,,,,,,
,,,,,,Kotak Mahindra Bank Ltd.,Very Good,"1,354",0.14%,"2,67,465","1,740","1,000",13.08,44.97,4.78,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,KPIT Technologies Ltd.,Somewhat,60.6,-0.90%,"1,676",111.1,34.45,11.98,11.44,1.59,20.94
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,KPR Mill Ltd.,Somewhat,490,-1.34%,"3,417",714.2,316.9,19.84,9.07,1.83,6.84
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,KRBL Ltd.,Somewhat,263.4,-0.92%,"6,257",318.1,91.25,20.35,11.18,2.01,8.9
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,L&T Finance Holdings Ltd.,Somewhat,67.7,-2.17%,"13,874",134,46,18.1,6.38,0.94,-
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,L&T Technology Services Ltd.,Very Good,"1,295",-0.23%,"13,564","1,780",995,29.27,17.17,5.25,12.37
,,,,,,Add to ,,,,,,,,,,
,,,,,,Lakshmi Machine Works Ltd.,Very Good,"2,841",0.49%,"3,021","5,315","2,001",1.92,67.13,1.82,98.18
,,,,,,Add to ,,,,,,,,,,
,,,,,,Larsen & Toubro Infotech Ltd.,Very Good,"1,977",0.59%,"34,238","2,049","1,208",26.8,22.06,6.68,17.04
,,,,,,Add to ,,,,,,,,,,
,,,,,,Larsen & Toubro Ltd.,Somewhat,944.5,0.41%,"1,32,067","1,592",661,12.3,21.92,2.53,15.52
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Laurus Labs Ltd.,Somewhat,530.4,0.97%,"5,616",587.3,298,15.41,22,3.18,11.78
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Lemon Tree Hotels Ltd.,Somewhat,23.65,0.42%,"1,866",69,13.8,5.54,0,1.21,17.78
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,LIC Housing Finance Ltd.,Very Good,274.4,-2.73%,"14,239",586.8,186,15.89,5.92,0.78,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Linde India Ltd.,Somewhat,622.5,-0.52%,"5,337",801,378,2.71,7.3,2.45,19.25
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Lupin Ltd.,Very Good,899.4,0.49%,"40,552",955.9,505,3.6,0,3.23,15.93
,,,,,,Add to ,,,,,,,,,,
,,,,,,Lux Industries Ltd.,Not Good,"1,148",0.19%,"2,893","1,680",812.8,27.03,22.96,5.8,17.07
,,,,,,Add to ,,,,,,,,,,
,,,,,,Magma Fincorp Ltd.,Somewhat,23.5,-4.86%,666,131.5,12.7,12.64,0,0.26,-
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Mahanagar Gas Ltd.,Very Good,"1,071",2.18%,"10,355","1,247",666.4,24.45,13.05,3.51,10.57
,,,,,,Add to ,,,,,,,,,,
,,,,,,Maharashtra Scooters Ltd.,Very Good,"2,543",0.89%,"2,881","4,948","1,815",0,0,0,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Maharashtra Seamless Ltd.,Somewhat,224.6,-1.10%,"1,521",459.9,185,11.53,4.42,0.43,2.8
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Mahindra & Mahindra Financial Services Ltd.,Very Good,182.6,-1.30%,"11,429",416.4,125.4,17.28,10.63,0.95,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Mahindra & Mahindra Ltd.,Very Good,530.3,0.10%,"65,861",675,245.8,14.95,49.5,1.91,9.29
,,,,,,Add to ,,,,,,,,,,
,,,,,,Mahindra CIE Automotive Ltd.,Not Good,116.8,0.09%,"4,423",228.4,59.05,7.72,19.91,0.95,5.91
,,,,,,Add to ,,,,,,,,,,
,,,,,,Mahindra Holidays & Resorts India Ltd.,Somewhat,178.9,0.65%,"2,375",252.4,122,8.68,25.95,2.82,17.94
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Mahindra Logistics Ltd.,Very Good,280.4,0.30%,"2,001",489.6,199,18.73,36.48,3.67,12.45
,,,,,,Add to ,,,,,,,,,,
,,,,,,Manappuram Finance Ltd.,Very Good,161.2,1.10%,"13,476",194.6,75.6,22.43,9.18,2.35,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Mangalore Refinery & Petrochemicals Ltd.,Somewhat,36.8,-1.74%,"6,563",62.65,21.25,5.08,0,0.84,7.71
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Marico Ltd.,Very Good,358.6,0.29%,"46,162",403.7,233.8,39.21,45.21,15.27,35.57
,,,,,,Add to ,,,,,,,,,,
,,,,,,Maruti Suzuki India Ltd.,Very Good,"5,933",-0.26%,"1,79,691","7,755","4,002",13.63,31.66,3.64,15.71
,,,,,,Add to ,,,,,,,,,,
,,,,,,MAS Financial Services Ltd.,Somewhat,636.2,2.70%,"3,386","1,269",448.1,18.15,18.82,3.24,-
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Max Financial Services Ltd.,Somewhat,555.1,1.76%,"14,707",611,279.8,2.53,53.96,6.45,-
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Metropolis Healthcare Ltd.,Very Good,"1,358",0.27%,"6,865","2,110",949.5,28.49,53.92,12.74,32.96
,,,,,,Add to ,,,,,,,,,,
