Company Name,Sector,Ticker,MarketCap
Indraprastha Gas Ltd.,OIL & GAS,IGL,31115
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,34307
Infibeam Avenues Ltd.,IT,INFIBEAM,4327
Info Edge (India) Ltd.,IT,NAUKRI,34164
Infosys Ltd.,IT,INFY,322120
Ingersoll Rand (India) Ltd.,INDUSTRIAL MANUFACTURING,INGERRAND,500
Inox Leisure Ltd.,MEDIA & ENTERTAINMENT,INOXLEISUR,2404
Intellect Design Arena Ltd.,IT,INTELLECT,1445
InterGlobe Aviation Ltd.,SERVICES,INDIGO,38555
Ipca Laboratories Ltd.,PHARMA,IPCALAB,20928
J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,JBCHEPHARM,500
J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKCEMENT,500
JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKLAKSHMI,3064
JK Paper Ltd.,PAPER,JKPAPER,1779
JK Tyre & Industries Ltd.,AUTOMOBILE,JKTYRE,1582
JM Financial Ltd.,FINANCIAL SERVICES,JMFINANCIL,6949
JSW Energy Ltd.,POWER,JSWENERGY,8280
JSW Steel Ltd.,METALS,JSWSTEEL,47015
Jagran Prakashan Ltd.,MEDIA & ENTERTAINMENT,JAGRAN,1156
Jai Corp Ltd.,INDUSTRIAL MANUFACTURING,JAICORPLTD,1635
Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES,J&KBANK,500
Jamna Auto Industries Ltd.,AUTOMOBILE,JAMNAAUTO,1273
Jindal Saw Ltd.,METALS,JINDALSAW,1859
Jindal Stainless (Hisar) Ltd.,METALS,JSLHISAR,1669
Jindal Stainless Ltd.,METALS,JSL,1998
Jindal Steel & Power Ltd.,METALS,JINDALSTEL,15698
Johnson Controls - Hitachi Air Conditioning India Ltd.,CONSUMER GOODS,JCHAC,6068
Jubilant Foodworks Ltd.,CONSUMER GOODS,JUBLFOOD,22753
Jubilant Life Sciences Ltd.,PHARMA,JUBILANT,10828
Justdial Ltd.,IT,JUSTDIAL,500
Jyothy Labs Ltd.,CONSUMER GOODS,JYOTHYLAB,4335
K.P.R. Mill Ltd.,TEXTILES,KPRMILL,500
KEI Industries Ltd.,INDUSTRIAL MANUFACTURING,KEI,3161
KNR Constructions Ltd.,CONSTRUCTION,KNRCON,500
KPIT Technologies Ltd.,IT,KPITTECH,1676
KRBL Ltd.,CONSUMER GOODS,KRBL,6257
KSB Ltd.,INDUSTRIAL MANUFACTURING,KSB,500
