Company Name,Sector,Ticker,MarketCap
Shipping Corporation of India Ltd.,SERVICES,SCI,500
Shoppers Stop Ltd.,CONSUMER GOODS,SHOPERSTOP,1477
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,82102
Shree Renuka Sugars Ltd.,CONSUMER GOODS,RENUKA,2162
Shriram City Union Finance Ltd.,FINANCIAL SERVICES,SHRIRAMCIT,4529
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN,500
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS,38960
Sobha Ltd.,CONSTRUCTION,SOBHA,2117
Solar Industries India Ltd.,CHEMICALS,SOLARINDS,500
Sonata Software Ltd.,IT,SONATSOFTW,2491
South Indian Bank Ltd.,FINANCIAL SERVICES,SOUTHBANK,500
Spandana Sphoorty Financial Ltd.,FINANCIAL SERVICES,SPANDANA,3551
Spicejet Ltd.,SERVICES,SPICEJET,3027
Star Cement Ltd.,CEMENT & CEMENT PRODUCTS,STARCEMENT,3629
State Bank of India,FINANCIAL SERVICES,SBIN,165507
Steel Authority of India Ltd.,METALS,SAIL,12908
Sterling And Wilson Solar Ltd.,CONSTRUCTION,SWSOLAR,3509
Sterlite Technologies Ltd.,TELECOM,STRTECH,5136
Strides Pharma Science Ltd.,PHARMA,STAR,3699
Sudarshan Chemical Industries Ltd.,CHEMICALS,SUDARSCHEM,2702
Sumitomo Chemical India Ltd.,CHEMICALS,SUMICHEM,500
Sun Pharma Advanced Research Company Ltd.,PHARMA,SPARC,4167
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,113525
Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,SUNTV,15809
Sundaram Finance Ltd.,FINANCIAL SERVICES,SUNDARMFIN,15685
Sundram Fasteners Ltd.,AUTOMOBILE,SUNDRMFAST,7988
Sunteck Realty Ltd.,CONSTRUCTION,SUNTECK,2586
Suprajit Engineering Ltd.,AUTOMOBILE,SUPRAJIT,2088
Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING,SUPREMEIND,14459
Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,SUZLON,3775
Swan Energy Ltd.,CONSTRUCTION,SWANENERGY,3439
Symphony Ltd.,CONSUMER GOODS,SYMPHONY,6363
Syngene International Ltd.,PHARMA,SYNGENE,16250
TCI Express Ltd.,SERVICES,TCIEXP,2514
TCNS Clothing Co. Ltd.,TEXTILES,TCNSBRANDS,500
TTK Prestige Ltd.,CONSUMER GOODS,TTKPRESTIG,7658
TV Today Network Ltd.,MEDIA & ENTERTAINMENT,TVTODAY,1135
TV18 Broadcast Ltd.,MEDIA & ENTERTAINMENT,TV18BRDCST,6026
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,18317
Take Solutions Ltd.,PHARMA,TAKE,727
Tasty Bite Eatables Ltd.,CONSUMER GOODS,TASTYBITE,3292
Tata Communications Ltd.,TELECOM,TATACOMM,500
Tata Consultancy Services Ltd.,IT,TCS,809896
Tata Consumer Products Ltd.,CONSUMER GOODS,TATACONSUM,35826
Tata Elxsi Ltd.,IT,TATAELXSI,5672
Tata Investment Corporation Ltd.,FINANCIAL SERVICES,TATAINVEST,3806
Tata Motors Ltd DVR,AUTOMOBILE,TATAMTRDVR,500
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,31369
Tata Power Co. Ltd.,POWER,TATAPOWER,500
Tata Steel BSL Ltd.,METALS,TATASTLBSL,2263
Tata Steel Ltd.,METALS,TATASTEEL,40332
Teamlease Services Ltd.,SERVICES,TEAMLEASE,2836
Tech Mahindra Ltd.,IT,TECHM,54178
The New India Assurance Company Ltd.,FINANCIAL SERVICES,NIACL,500
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM,15287
Thermax Ltd.,INDUSTRIAL MANUFACTURING,THERMAX,8989
Thyrocare Technologies Ltd.,HEALTHCARE SERVICES,THYROCARE,2705
Time Technoplast Ltd.,INDUSTRIAL MANUFACTURING,TIMETECHNO,846
Timken India Ltd.,INDUSTRIAL MANUFACTURING,TIMKEN,7610
Titan Company Ltd.,CONSUMER GOODS,TITAN,87567
Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM,39780
Torrent Power Ltd.,POWER,TORNTPOWER,15582
Trent Ltd.,CONSUMER GOODS,TRENT,21740
Trident Ltd.,TEXTILES,TRIDENT,3506
Tube Investments of India Ltd.,AUTOMOBILE,TIINDIA,8355
UCO Bank,FINANCIAL SERVICES,UCOBANK,14580
UFLEX Ltd.,INDUSTRIAL MANUFACTURING,UFLEX,1545
UPL Ltd.,FERTILISERS & PESTICIDES,UPL,33800
Ujjivan Financial Services Ltd.,FINANCIAL SERVICES,UJJIVAN,2905
Ujjivan Small Finance Bank Ltd.,FINANCIAL SERVICES,UJJIVANSFB,500
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,112997
Union Bank of India,FINANCIAL SERVICES,UNIONBANK,20758
United Breweries Ltd.,CONSUMER GOODS,UBL,27913
United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N,43188
V-Guard Industries Ltd.,CONSUMER GOODS,VGUARD,7309
V-Mart Retail Ltd.,CONSUMER GOODS,VMART,3292
V.I.P. Industries Ltd.,CONSUMER GOODS,VIPIND,500
VRL Logistics Ltd.,SERVICES,VRLLOG,1457
VST Industries Ltd.,CONSUMER GOODS,VSTIND,4876
Vaibhav Global Ltd.,CONSUMER GOODS,VAIBHAVGBL,4129
Vakrangee Ltd.,IT,VAKRANGEE,3750
Vardhman Textiles Ltd.,TEXTILES,VTL,3837
Varroc Engineering Ltd.,AUTOMOBILE,VARROC,2479
Varun Beverages Ltd.,CONSUMER GOODS,VBL,19677
Vedanta Ltd.,METALS,VEDL,39551
Venky's (India) Ltd.,CONSUMER GOODS,VENKEYS,500
Vesuvius India Ltd.,INDUSTRIAL MANUFACTURING,VESUVIUS,500
Vinati Organics Ltd.,CHEMICALS,VINATIORGA,9918
Vodafone Idea Ltd.,TELECOM,IDEA,28850
Voltas Ltd.,CONSUMER GOODS,VOLTAS,18604
WABCO India Ltd.,AUTOMOBILE,WABCOINDIA,13051
Welspun Corp Ltd.,METALS,WELCORP,2111
Welspun India Ltd.,TEXTILES,WELSPUNIND,3572
Westlife Development Ltd.,SERVICES,WESTLIFE,4819
Whirlpool of India Ltd.,CONSUMER GOODS,WHIRLPOOL,26680
Wipro Ltd.,IT,WIPRO,128403
Wockhardt Ltd.,PHARMA,WOCKPHARMA,3042
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,16751
Zensar Technolgies Ltd.,IT,ZENSARTECH,500
Zydus Wellness Ltd.,CONSUMER GOODS,ZYDUSWELL,7476
eClerx Services Ltd.,IT,ECLERX,1741
